"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0147",140,60,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0148",89,41,68,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0149",71,0,122,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0150",81,0,111,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0151",79,72,41,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0152",49,67,76,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0153",101,0,90,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0154",55,81,55,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0155",42,57,91,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Lumbricidae__Dendrodrilus__Dendrodrilus rubidus__Seq_0156",25,112,52,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0157",74,19,95,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0158",52,7,129,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0159",27,72,86,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0160",63,47,74,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0161",32,54,98,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0162",48,66,69,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0163",29,55,96,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0164",179,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0165",77,65,37,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0166",39,22,118,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0167",118,17,43,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0168",137,22,18,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0169",72,78,27,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0170",131,0,45,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0171",41,32,103,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0172",118,0,57,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0173",77,40,58,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0174",174,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0175",77,46,51,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0176",60,56,57,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0177",140,0,32,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0178",57,0,114,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0179",78,20,71,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0180",65,33,71,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0181",49,36,83,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0182",41,29,97,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0183",53,32,81,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0184",62,16,87,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0185",51,8,106,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0186",20,50,95,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0187",107,0,56,0,0,0,0
"NA__NA__NA__Himatismenida__Cochliopodiidae__Cochliopodium__Cochliopodium minus__Seq_0188",87,53,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0189",92,69,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0190",46,18,97,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0191",21,44,96,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0192",112,0,48,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0193",110,22,27,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0194",80,0,79,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Seq_0195",155,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0196",98,6,51,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0197",66,36,52,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0198",63,43,48,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0199",56,36,61,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0200",42,33,78,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0201",41,51,61,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0202",152,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0203",51,33,67,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0204",37,0,114,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0205",150,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0206",43,25,82,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0207",89,0,59,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0208",146,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0209",50,49,47,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0210",46,33,67,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0211",63,51,31,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0212",65,44,35,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0213",40,23,81,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0214",35,49,60,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0215",18,38,88,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0216",26,15,102,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0217",67,75,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0218",141,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0219",84,17,40,0,0,0,0
"NA__NA__NA__Himatismenida__Cochliopodiidae__Cochliopodium__NA__Seq_0220",43,29,69,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0221",72,33,35,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0222",42,83,15,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0223",56,0,82,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0224",36,21,81,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0225",46,45,45,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0226",82,0,53,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0227",80,0,55,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0228",60,0,75,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0229",52,0,83,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0230",81,0,53,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0231",39,51,44,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0232",37,0,97,0,0,0,0
"NA__NA__NA__Himatismenida__Cochliopodiidae__Cochliopodium__NA__Seq_0233",18,60,56,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0234",52,39,42,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0235",24,27,80,0,0,0,2
"NA__NA__NA__NA__NA__NA__NA__Seq_0236",3,30,100,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0237",70,62,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0238",80,15,36,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0239",63,30,38,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0240",74,19,37,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0241",51,0,79,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0242",44,0,86,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0243",38,65,27,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0244",43,17,69,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0245",58,0,70,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0246",45,41,42,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0247",25,82,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0248",127,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0249",64,16,47,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0250",126,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0251",69,29,28,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0252",63,63,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0253",43,0,81,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0254",76,28,19,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0255",26,76,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0256",64,23,35,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0257",51,0,71,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0258",32,19,71,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0259",23,24,75,0,0,0,0
"Metazoa__Arthropoda__Hexanauplia__NA__NA__NA__NA__Seq_0260",112,0,9,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Brachionidae__Keratella__NA__Seq_0261",109,0,12,0,0,0,0
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_0262",74,25,22,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0263",59,9,53,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0264",18,70,33,0,0,0,0
"NA__Bacillariophyta__Bacillariophyceae__NA__NA__NA__NA__Seq_0265",120,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0266",120,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0267",32,6,82,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0268",60,11,48,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0269",28,36,55,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0270",27,32,60,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0271",118,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0272",49,22,47,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0273",36,21,61,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0274",117,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0275",46,54,17,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0276",37,35,45,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0277",47,20,49,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra vulgaris__Seq_0278",95,0,20,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_0279",47,21,47,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0280",36,0,79,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0281",56,0,58,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0282",39,0,75,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0283",21,65,28,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0284",90,23,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0285",87,26,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0286",53,39,21,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0287",29,11,73,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0288",28,0,85,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0289",112,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0290",18,48,46,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0291",75,36,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0292",72,0,39,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0293",52,33,26,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0294",41,70,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0295",34,77,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0296",71,0,39,0,0,0,0
