"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_172",0,0,10,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_173",0,0,10,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_174",0,0,10,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_175",0,0,9,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_176",0,0,9,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_177",0,0,9,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_178",0,5,12,0,0,0,5,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_179",0,0,8,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_180",0,0,7,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_181",0,0,7,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_182",0,0,7,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_183",0,0,6,0,4,2,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_184",0,0,6,0,0,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_185",0,0,5,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_186",0,0,5,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_187",0,0,5,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_188",0,0,5,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_189",0,0,4,0,0,0,0,0,0,0,0
"Metazoa__Mollusca__NA__NA__NA__NA__NA__Taxon_190",0,0,4,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__Sciurus__NA__Taxon_191",0,0,4,0,0,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_192",0,0,4,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_193",0,0,4,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_194",0,0,4,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_195",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_196",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_197",0,0,3,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_198",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_199",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_200",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__Ephemerellidae__NA__NA__Taxon_201",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Diptera__NA__NA__NA__Taxon_202",0,0,3,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_203",0,0,3,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_204",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_205",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_206",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Collembola__Poduromorpha__Hypogastruridae__Ceratophysella__Ceratophysella denticulata__Taxon_207",0,0,2,0,0,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_208",0,0,2,0,0,0,0,0,0,0,0
"Fungi__Ascomycota__Saccharomycetes__Saccharomycetales__Saccharomycetaceae__NA__NA__Taxon_209",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_210",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_211",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_212",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_213",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_214",0,0,2,0,0,0,0,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra oligactis__Taxon_215",0,0,0,448,569,267,0,168,107,470,0
"Metazoa__Arthropoda__Insecta__Diptera__Simuliidae__NA__NA__Taxon_216",0,0,0,131,40,33,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_217",0,0,0,59,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_218",0,0,0,55,3,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_219",0,0,0,28,0,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__Synchaetidae__Synchaeta__NA__Taxon_220",0,0,0,51,0,0,0,0,0,0,0
