"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"144f627a015afe5c947dbc86463bb87438ecbd71","   2759","Eukaryota","superkingdom","0.9517","","","","","","",""
"39913009fd8ef1d79d85752777355652b08813a5","   2759","Eukaryota","superkingdom","0.9220","","","","","","",""
"c97c0ec137b04e04b8c96e4a0296d29b98cbcd32"," 131567","cellular organisms","no rank","1.0000","","","","","","",""
"3ff2e87189695a24212c573f0f77739ae948badb","      1","root","no rank","1.0000","","","","","","",""
"5ad50d488dcfc24a83befc3923f85ca338d0d90d","      1","root","no rank",NA,"","","","","","",""
"deb49ea0df6454b4c59a033d3aaba05ceb5457bd","      1","root","no rank",NA,"","","","","","",""
"7384cd7ac61623e3dbcd1edf52f0e26f109f8cfe","      1","root","no rank","1.0000","","","","","","",""
"92b086ac5fffae55a815529f596d60dfba2f20cb","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"d88f33a160d42765d974305b718b797ef2faf2c7","      1","root","no rank","1.0000","","","","","","",""
"4d01da1447f4d4bc3b49c51fb8e6a7e2a7be214d","   2759","Eukaryota","superkingdom","0.9939","","","","","","",""
"0d791bae6b3ba1b97781446ed66038bad619af71","   2759","Eukaryota","superkingdom","0.9990","","","","","","",""
"49591779ee43fea69e78b151a8569df2e98bca0d"," 131567","cellular organisms","no rank","1.0000","","","","","","",""
"135c2ec90d595a84078fdbc857ae525e3319aafb","   2759","Eukaryota","superkingdom","0.9995","","","","","","",""
"394714fac498a0ef675765e4d626c5706d0cdd48","   2759","Eukaryota","superkingdom","0.9867","","","","","","",""
"2ca22c14430297a87807873a1fca4ad28538847c","      1","root","no rank","1.0000","","","","","","",""
"9fcb02c19928a15dda154a99ea3455838d6b8761","      1","root","no rank",NA,"","","","","","",""
"534ddd30f7c626b0c85216482db7bfe0c5ea7e10","   2759","Eukaryota","superkingdom","0.9981","","","","","","",""
"863eeb607623dbd5b331f516cb50b66c767a2b83","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"58691ded4c75b128f7deddf89b06f91ff8efb21e","      1","root","no rank","1.0000","","","","","","",""
"be99dcea1fb975baf793ca573a33f3530237fc6e","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"cba09b057354392973d626c7a66bc899bb2dcc47","   2759","Eukaryota","superkingdom","0.9968","","","","","","",""
"6aec32254ceba25af114842be34902dd84010fd8","   2759","Eukaryota","superkingdom","0.9994","","","","","","",""
"d266654f9258c03111a2c5e41986c5c6e2b96a64","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"e1639b5e0ff0b849ef4768da0553f4774aa6eeaf","      1","root","no rank","1.0000","","","","","","",""
"706e060c1bb36910f60e520a630ed5114421bff2","   4762","Oomycetes","class","1.0000","","","Oomycetes","","","",""
"3c8b82c284d7b8fdd682c0fa83e175750185b11f","      1","root","no rank","1.0000","","","","","","",""
"240c898746b93d643f88d754d5d493f9829ef3cc","   2759","Eukaryota","superkingdom","0.9629","","","","","","",""
"278613d2f65198499ee36dcb1a1d7ca52ef9f431","      1","root","no rank",NA,"","","","","","",""
"4d9c1a8ab77b97f0e03103bf0825fde31f755568","      1","root","no rank",NA,"","","","","","",""
"927200f3d5faf974d1a642fc83e45ed10b0a3ba4","   2759","Eukaryota","superkingdom","0.9999","","","","","","",""
"6d526b775b6b02b29c3c9e9847db56c2b64769da","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"e2abd495329f0eb274c90b5a05cebac29d5e24b8","   2759","Eukaryota","superkingdom","0.9739","","","","","","",""
"4ae8d09ed2f33c5e8f1a1d1e1380f30abd3eac20"," 131567","cellular organisms","no rank","0.9098","","","","","","",""
"c091da7cc2c4d0730e280fa0b4c829871ad81c20","      1","root","no rank","1.0000","","","","","","",""
"038758576a1b119acfca133b90d5751b70e1a1ab","   6656","Arthropoda","phylum","0.9516","Metazoa","Arthropoda","","","","",""
"a24090c5052dcb45cebfe52d8446af249ed80e29","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"0fa0727ab37228a20881239b780263ce9b76d8b5","   2759","Eukaryota","superkingdom","0.9986","","","","","","",""
"6037076cd148bf7eb362329b1dec92636470f66f"," 131567","cellular organisms","no rank","0.9659","","","","","","",""
"0c020bd1459b7b7d02c3bd35fa36a9c394153693","      1","root","no rank",NA,"","","","","","",""
"b8b1f0a75b1e1bfafc42addca06fa73a85eb39a8","      1","root","no rank","1.0000","","","","","","",""
"4c657b4a1fc5aa1dd1023c4c1577f67469522811","      1","root","no rank","1.0000","","","","","","",""
"48486f87efc4624cd055164e80f40f354e5cb690","  33154","Opisthokonta","no rank","0.9999","","","","","","",""
"2bcb310b7a72e76f6036356142e9cc7c68f05759","  33154","Opisthokonta","no rank","0.9141","","","","","","",""
"6bec4c5e8b51303676034f10b2051ff8f200b00c","      1","root","no rank","1.0000","","","","","","",""
"852df407a41727abf58eb94ff7b6f8c79ddac634","      1","root","no rank","1.0000","","","","","","",""
"2028b3f27b44b94f503765378c4a1983e4f9791f","  33154","Opisthokonta","no rank","0.9665","","","","","","",""
"03c379ef6563f3562e4dc89ff5b60ffcb8caea39","   2836","Bacillariophyta","phylum","1.0000","","Bacillariophyta","","","","",""
"977f8906213253247703f374ae0198ca33b8ae6a","   2759","Eukaryota","superkingdom","0.9867","","","","","","",""
"0b17671bdfb948473abce63fdcb5cde5ecc0671a","   2759","Eukaryota","superkingdom","0.9693","","","","","","",""
"6e766fc4916ddcb9719b232c9eaac7372cb9f501","      1","root","no rank","1.0000","","","","","","",""
"a54cf0757cfbf9e9ec3097b8f35a8f3de418ca8b","      1","root","no rank","1.0000","","","","","","",""
"54607d3faec2cd49fe1b552674ed1ab6c6e88044","      1","root","no rank",NA,"","","","","","",""
"1e3194d183c64a0cb4a5fecd4e5ab10b72944e48","   2759","Eukaryota","superkingdom","0.9844","","","","","","",""
"64a5baf37a3cb7ee46405e1a25c7ca7c492a22da","      1","root","no rank","1.0000","","","","","","",""
"75b2b5837ff3aed17caeb76ed473e177ac63fd34","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"ac8f446ada11038dac5058f61c273822f1e7cdb4","   2759","Eukaryota","superkingdom","0.9433","","","","","","",""
"f28c0e405d2abfc56f88a12a91f1cd66195dff5c","  33154","Opisthokonta","no rank","0.9962","","","","","","",""
"7d663e77e89b518c1c6a6c4041b0054482aaf891","      1","root","no rank","1.0000","","","","","","",""
"218f346360d622a63e6283cd50f99984e5853633","   2759","Eukaryota","superkingdom","0.9100","","","","","","",""
"670588a4d28c5418d87ecdbbc807b3846811acae","      1","root","no rank","1.0000","","","","","","",""
"96557f47c5b0c3015b9317ab85874b5108c28074","      1","root","no rank","1.0000","","","","","","",""
"e1ad7821185e7e2d7f0055162047367bf5c794f3","      1","root","no rank","1.0000","","","","","","",""
"e39f2c84b351734056c03c6178186e3e9a8c4425","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"06710ab0e377e24cf5646a86050444ae508a5443","   2759","Eukaryota","superkingdom","0.9980","","","","","","",""
"2489464a5aecc4b501e23c087e22074beff8ce97","   2759","Eukaryota","superkingdom","0.9737","","","","","","",""
"7f583111ad7b47f8f4530a978b4b79cc5e48923e","      1","root","no rank","1.0000","","","","","","",""
"90048676753ca0f86aa21d5fdd2e573daad628f0","      1","root","no rank","1.0000","","","","","","",""
"617f87010c7d988208619dc5873203b60b72ed53","   2759","Eukaryota","superkingdom","0.9923","","","","","","",""
"fef07151198ccbfdaedf526b6f10de54228653e4","      1","root","no rank","1.0000","","","","","","",""
"7018ba90f91848978483b0acbbc9f69ed3970f5f","   2759","Eukaryota","superkingdom","0.9121","","","","","","",""
"6af6618edef38640ae34c279fabe019423ad04f6","      1","root","no rank","1.0000","","","","","","",""
"701941906f67b30868b02c4efcd04b13e88bf313","      1","root","no rank","1.0000","","","","","","",""
"2c614f70a7a42feab1a5f24d0e7fa8a507f03213","   2759","Eukaryota","superkingdom","0.9991","","","","","","",""
"06378778230c1e56e6382143e1ebb0b06a3c261d","      1","root","no rank","1.0000","","","","","","",""
"1f5c7fa61824be9e22de93de27e5c242bfaf7931","      1","root","no rank","1.0000","","","","","","",""
"61a69bbc99b90ddb91b4bd5aeba85efd8f7b715b","      1","root","no rank","1.0000","","","","","","",""
"d1c97f4bac7d5575005a40a09858bf8ca6a88091","      1","root","no rank","1.0000","","","","","","",""
"e13a474bd2549f4eacbf8c4ac9765f149c66115a","      1","root","no rank","1.0000","","","","","","",""
"03aa3a27583856f03b75f64a902509a695910ea2","      1","root","no rank","1.0000","","","","","","",""
"4a1f65f47b2679cb12e0e95ea536f3b44ffe03f3","   2759","Eukaryota","superkingdom","0.9630","","","","","","",""
