"","MiFish.0321.1Prt.Up.1","MiFish.0321.2Brn.Dn.3","MiFish.0321.3Chk.Dn.1","MiFish.0321.3Chk.Dn.3","MiFish.0321.3Chk.Up.2","MiFish.0321.4Pad.Dn.2","MiFish.0321.4Pad.Dn.3","MiFish.0321.4Pad.Up11.1","MiFish.0321.4Pad.Up11.3","MiFish.0321.4Pad.Up5.1","MiFish.0321.4Pad.Up5.2","MiFish.0321.4Pad.Up5.3","MiFish.0321.5Sqm.Dn.3","MiFish.0321.5Sqm.Up.1","MiFish.0421.1Prt.Dn.1","MiFish.0421.1Prt.Dn.3","MiFish.0421.2Brn.Dn.2","MiFish.0421.2Brn.Dn.3","MiFish.0421.2Brn.Up.2","MiFish.0421.3Chk.Dn.1","MiFish.0421.3Chk.Dn.2","MiFish.0421.3Chk.Up.1","MiFish.0421.4Pad.Up11.2","MiFish.0421.4Pad.Up5.1","MiFish.0421.4Pad.Up5.2","MiFish.0421.5Sqm.Dn.2","MiFish.0421.5Sqm.Dn.3","MiFish.0421.5Sqm.Up.2","MiFish.0421.5Sqm.Up.3","MiFish.0821.1Prt.Dn.2","MiFish.0821.1Prt.Dn.3","MiFish.0821.1Prt.Up.2","MiFish.0821.1Prt.Up.3","MiFish.0821.2Brn.Dn.2","MiFish.0821.2Brn.Up.1","MiFish.0821.2Brn.Up.3","MiFish.0821.3Chk.Up.1","MiFish.0821.4Pad.Dn.1","MiFish.0821.5Sqm.Dn.1","MiFish.0821.2Brn.Dn.2TR2","MiFish.0821.2Brn.Dn.2TR3","MiFish.Kangaroo.Run.2"
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_058",0,0,0,0,0,0,0,0,0,0,0,0,2566,98,0,64,0,0,0,0,0,0,0,0,0,614,87,314,725,0,0,0,0,641,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_059",0,0,0,0,0,0,0,0,0,0,0,0,358,58,4928,100,0,0,0,5305,8937,2128,0,0,0,726,0,362,45,8,0,0,720,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus__Taxon_060",0,0,0,0,0,0,0,0,0,0,0,0,3701,649,0,0,0,0,0,0,0,0,0,0,0,2986,2484,2388,762,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_061",0,0,0,0,0,0,0,0,0,0,0,0,366,868,0,0,0,0,0,0,0,0,0,0,0,734,819,855,891,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_062",0,0,0,0,0,0,0,0,0,0,0,0,320,759,0,0,0,0,0,0,0,0,0,0,0,649,770,730,769,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__NA__NA__Taxon_063",0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_064",0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,3628,430,3169,2628,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_065",0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_066",0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,102,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_067",0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_068",0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__Paridae__NA__NA__Taxon_069",0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,96,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_073",0,0,0,0,0,390,0,0,0,0,0,0,0,0,1140,2017,0,0,0,0,60,0,95,0,0,82,0,0,0,77,193,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
